Question ID,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
336,Palindrome Pairs,palindrome-pairs,"Given a list of unique words, return all the pairs of the distinct indices (i, j) in the given list, so that the concatenation of the two words words[i] + words[j] is a palindrome. ","Array,Hash Table,String,Trie",Hard,35.9,409115,146725,2618,244,,"5,214,2237","Longest Palindromic Substring,Shortest Palindrome,Longest Palindrome by Concatenating Two Letter Words"
337,House Robber III,house-robber-iii,"The thief has found himself a new place for his thievery again. There is only one entrance to this area, called root. Besides the root, each house has one and only one parent house. After a tour, the smart thief realized that all houses in this place form a binary tree. It will automatically contact the police if two directly-linked houses were broken into on the same night. Given the root of the binary tree, return the maximum amount of money the thief can rob without alerting the police. ","Dynamic Programming,Tree,Depth-First Search,Binary Tree",Medium,53.5,528529,282635,6128,93,,"198,213","House Robber,House Robber II"
338,Counting Bits,counting-bits,"Given an integer n, return an array ans of length n + 1 such that for each i (0 <= i <= n), ans[i] is the number of 1's in the binary representation of i. ","Dynamic Programming,Bit Manipulation",Easy,74.2,759000,563251,6774,317,"You should make use of what you have produced already. Divide the numbers in ranges like [2-3], [4-7], [8-15] and so on. And try to generate new range from previous. Or does the odd/even status of the number help you in calculating the number of 1s?",191,Number of 1 Bits
339,Nested List Weight Sum,nested-list-weight-sum,,"Depth-First Search,Breadth-First Search",Medium,81.0,231221,187385,1277,292,,"364,565,690","Nested List Weight Sum II,Array Nesting,Employee Importance"
340,Longest Substring with At Most K Distinct Characters,longest-substring-with-at-most-k-distinct-characters,,"Hash Table,String,Sliding Window",Medium,47.3,572053,270626,2246,69,,"3,159,424,1034,1046,2134","Longest Substring Without Repeating Characters,Longest Substring with At Most Two Distinct Characters,Longest Repeating Character Replacement,Subarrays with K Different Integers,Max Consecutive Ones III,Maximize the Confusion of an Exam"
341,Flatten Nested List Iterator,flatten-nested-list-iterator,"You are given a nested list of integers nestedList. Each element is either an integer or a list whose elements may also be integers or other lists. Implement an iterator to flatten it. Implement the NestedIterator class: Your code will be tested with the following pseudocode: If res matches the expected flattened list, then your code will be judged as correct. ","Stack,Tree,Depth-First Search,Design,Queue,Iterator",Medium,58.7,484448,284132,3052,1068,,"251,281,385,565","Flatten 2D Vector,Zigzag Iterator,Mini Parser,Array Nesting"
342,Power of Four,power-of-four,"Given an integer n, return true if it is a power of four. Otherwise, return false. An integer n is a power of four, if there exists an integer x such that n == 4x. ","Math,Bit Manipulation,Recursion",Easy,43.9,663170,291168,1445,285,,"231,326","Power of Two,Power of Three"
343,Integer Break,integer-break,"Given an integer n, break it into the sum of k positive integers, where k >= 2, and maximize the product of those integers. Return the maximum product you can get. ","Math,Dynamic Programming",Medium,54.0,337951,182547,2696,324,There is a simple O(n) solution to this problem. You may check the breaking results of n ranging from 7 to 10 to discover the regularities.,1936,Maximize Number of Nice Divisors
344,Reverse String,reverse-string,Write a function that reverses a string. The input string is given as an array of characters s. You must do this by modifying the input array in-place with O(1) extra memory. ,"Two Pointers,String,Recursion",Easy,74.7,2078623,1553675,4831,937,The entire logic for reversing a string is based on using the opposite directional two-pointer approach!,"345,541","Reverse Vowels of a String,Reverse String II"
345,Reverse Vowels of a String,reverse-vowels-of-a-string,"Given a string s, reverse only all the vowels in the string and return it. The vowels are 'a', 'e', 'i', 'o', and 'u', and they can appear in both cases. ","Two Pointers,String",Easy,46.9,737331,345831,1560,1823,,"344,1089","Reverse String,Remove Vowels from a String"
346,Moving Average from Data Stream,moving-average-from-data-stream,,"Array,Design,Queue,Data Stream",Easy,76.3,332734,253722,1255,118,,2211,K Radius Subarray Averages
347,Top K Frequent Elements,top-k-frequent-elements,"Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order. ","Array,Hash Table,Divide and Conquer,Sorting,Heap (Priority Queue),Bucket Sort,Counting,Quickselect",Medium,65.1,1418616,923599,8858,360,,"192,215,451,659,692,1014,1919","Word Frequency,Kth Largest Element in an Array,Sort Characters By Frequency,Split Array into Consecutive Subsequences,Top K Frequent Words,K Closest Points to Origin,Sort Features by Popularity"
348,Design Tic-Tac-Toe,design-tic-tac-toe,,"Array,Hash Table,Design,Matrix",Medium,57.2,313470,179359,1626,94,"Could you trade extra space such that move() operation can be done in O(1)? You need two arrays: int rows[n], int cols[n], plus two variables: diagonal, anti_diagonal.",810,Valid Tic-Tac-Toe State
349,Intersection of Two Arrays,intersection-of-two-arrays,"Given two integer arrays nums1 and nums2, return an array of their intersection. Each element in the result must be unique and you may return the result in any order. ","Array,Hash Table,Two Pointers,Binary Search,Sorting",Easy,68.9,939599,647468,2731,1878,,"350,1149,1392,2190,2282","Intersection of Two Arrays II,Intersection of Three Sorted Arrays,Find the Difference of Two Arrays,Count Common Words With One Occurrence,Choose Numbers From Two Arrays in Range"
350,Intersection of Two Arrays II,intersection-of-two-arrays-ii,"Given two integer arrays nums1 and nums2, return an array of their intersection. Each element in the result must appear as many times as it shows in both arrays and you may return the result in any order. ","Array,Hash Table,Two Pointers,Binary Search,Sorting",Easy,54.8,1412120,774103,4292,684,,"349,1044,1392,2282","Intersection of Two Arrays,Find Common Characters,Find the Difference of Two Arrays,Choose Numbers From Two Arrays in Range"
351,Android Unlock Patterns,android-unlock-patterns,,"Dynamic Programming,Backtracking",Medium,50.9,124639,63485,92,88,,,
352,Data Stream as Disjoint Intervals,data-stream-as-disjoint-intervals,"Given a data stream input of non-negative integers a1, a2, ..., an, summarize the numbers seen so far as a list of disjoint intervals. Implement the SummaryRanges class: ","Binary Search,Design,Ordered Set",Hard,50.6,100079,50635,625,158,,"228,436,715","Summary Ranges,Find Right Interval,Range Module"
353,Design Snake Game,design-snake-game,,"Array,Design,Queue,Matrix",Medium,38.1,155255,59171,703,255,,,
354,Russian Doll Envelopes,russian-doll-envelopes,"You are given a 2D array of integers envelopes where envelopes[i] = [wi, hi] represents the width and the height of an envelope. One envelope can fit into another if and only if both the width and height of one envelope are greater than the other envelope's width and height. Return the maximum number of envelopes you can Russian doll (i.e., put one inside the other). Note: You cannot rotate an envelope. ","Array,Binary Search,Dynamic Programming,Sorting",Hard,39.0,345525,134740,2981,72,,"300,2123","Longest Increasing Subsequence,The Number of Weak Characters in the Game"
355,Design Twitter,design-twitter,"Design a simplified version of Twitter where users can post tweets, follow/unfollow another user, and is able to see the 10 most recent tweets in the user's news feed. Implement the Twitter class: ","Hash Table,Linked List,Design,Heap (Priority Queue)",Medium,34.4,244506,84026,1964,273,,1640,Design a File Sharing System
356,Line Reflection,line-reflection,,"Array,Hash Table,Math",Medium,34.3,92431,31728,225,479,"Find the smallest and largest x-value for all points. If there is a line then it should be at y = (minX + maxX) / 2. For each point, make sure that it has a reflected point in the opposite side.","149,447","Max Points on a Line,Number of Boomerangs"
357,Count Numbers with Unique Digits,count-numbers-with-unique-digits,"Given an integer n, return the count of all numbers with unique digits, x, where 0 <= x < 10n. ","Math,Dynamic Programming,Backtracking",Medium,50.6,200530,101429,870,1223,"A direct way is to use the backtracking approach. Backtracking should contains three states which are (the current number, number of steps to get that number and a bitmask which represent which number is marked as visited so far in the current number). Start with state (0,0,0) and count all valid number till we reach number of steps equals to 10n. This problem can also be solved using a dynamic programming approach and some knowledge of combinatorics. Let f(k) = count of numbers with unique digits with length equals k. f(1) = 10, ..., f(k) = 9 * 9 * 8 * ... (9 - k + 2) [The first factor is 9 because a number cannot start with 0].",,
358,Rearrange String k Distance Apart,rearrange-string-k-distance-apart,,"Hash Table,String,Greedy,Sorting,Heap (Priority Queue),Counting",Hard,37.0,139155,51469,737,33,,"621,778,2300","Task Scheduler,Reorganize String,Construct String With Repeat Limit"
359,Logger Rate Limiter,logger-rate-limiter,,"Hash Table,Design",Easy,74.9,292455,218984,1209,160,,362,Design Hit Counter
360,Sort Transformed Array,sort-transformed-array,,"Array,Math,Two Pointers,Sorting",Medium,53.4,99547,53117,550,158,"x^2 + x  will form a parabola. Parameter A in:  A * x^2 + B * x + C dictates the shape of the parabola.
Positive A means the parabola remains concave (high-low-high), but negative A inverts the parabola to be convex (low-high-low).",1019,Squares of a Sorted Array
361,Bomb Enemy,bomb-enemy,,"Array,Dynamic Programming,Matrix",Medium,50.0,129539,64739,769,93,,"2192,2200","Minimum Cost Homecoming of a Robot in a Grid,Stamping the Grid"
362,Design Hit Counter,design-hit-counter,,"Array,Hash Table,Binary Search,Design,Queue",Medium,67.3,237572,159884,1482,128,,359,Logger Rate Limiter
363,Max Sum of Rectangle No Larger Than K,max-sum-of-rectangle-no-larger-than-k,"Given an m x n matrix matrix and an integer k, return the max sum of a rectangle in the matrix such that its sum is no larger than k. It is guaranteed that there will be a rectangle with a sum no larger than k. ","Array,Binary Search,Dynamic Programming,Matrix,Ordered Set",Hard,40.1,195205,78325,1887,107,,,
364,Nested List Weight Sum II,nested-list-weight-sum-ii,,"Stack,Depth-First Search,Breadth-First Search",Medium,68.3,164928,112591,960,289,,"339,565","Nested List Weight Sum,Array Nesting"
365,Water and Jug Problem,water-and-jug-problem,"You are given two jugs with capacities jug1Capacity and jug2Capacity liters. There is an infinite amount of water supply available. Determine whether it is possible to measure exactly targetCapacity liters using these two jugs. If targetCapacity liters of water are measurable, you must have targetCapacity liters of water contained within one or both buckets by the end. Operations allowed: ","Math,Depth-First Search,Breadth-First Search",Medium,34.4,179289,61740,761,1117,,,
366,Find Leaves of Binary Tree,find-leaves-of-binary-tree,,"Tree,Depth-First Search,Binary Tree",Medium,78.4,214014,167719,2318,42,,,
367,Valid Perfect Square,valid-perfect-square,"Given a positive integer num, write a function which returns True if num is a perfect square else False. Follow up: Do not use any built-in library function such as sqrt. ","Math,Binary Search",Easy,43.0,821205,352896,2164,229,,"69,633","Sqrt(x),Sum of Square Numbers"
368,Largest Divisible Subset,largest-divisible-subset,"Given a set of distinct positive integers nums, return the largest subset answer such that every pair (answer[i], answer[j]) of elements in this subset satisfies: If there are multiple solutions, return any of them. ","Array,Math,Dynamic Programming,Sorting",Medium,40.5,368307,149204,3136,143,,,
369,Plus One Linked List,plus-one-linked-list,,"Linked List,Math",Medium,60.5,110927,67078,768,40,,66,Plus One
370,Range Addition,range-addition,,"Array,Prefix Sum",Medium,69.4,96669,67079,1258,61,"Thinking of using advanced data structures? You are thinking it too complicated. For each update operation, do you really need to update all elements between i and j? Update only the first and end element is sufficient. The optimal time complexity is O(k + n) and uses O(1) extra space.","598,2385","Range Addition II,Count Positions on Street With Required Brightness"
371,Sum of Two Integers,sum-of-two-integers,"Given two integers a and b, return the sum of the two integers without using the operators + and -. ","Math,Bit Manipulation",Medium,50.6,575879,291580,2464,3695,,2,Add Two Numbers
372,Super Pow,super-pow,Your task is to calculate ab mod 1337 where a is a positive integer and b is an extremely large positive integer given in the form of an array. ,"Math,Divide and Conquer",Medium,37.6,129129,48553,464,1081,,50,"Pow(x, n)"
373,Find K Pairs with Smallest Sums,find-k-pairs-with-smallest-sums,"You are given two integer arrays nums1 and nums2 sorted in ascending order and an integer k. Define a pair (u, v) which consists of one element from the first array and one element from the second array. Return the k pairs (u1, v1), (u2, v2), ..., (uk, vk) with the smallest sums. ","Array,Heap (Priority Queue)",Medium,38.8,430871,167230,2979,185,,"378,719,2150","Kth Smallest Element in a Sorted Matrix,Find K-th Smallest Pair Distance,Kth Smallest Product of Two Sorted Arrays"
374,Guess Number Higher or Lower,guess-number-higher-or-lower,"We are playing the Guess Game. The game is as follows: I pick a number from 1 to n. You have to guess which number I picked. Every time you guess wrong, I will tell you whether the number I picked is higher or lower than your guess. You call a pre-defined API int guess(int num), which returns three possible results: Return the number that I picked. ","Binary Search,Interactive",Easy,49.0,620657,303829,842,139,,"278,375,658","First Bad Version,Guess Number Higher or Lower II,Find K Closest Elements"
375,Guess Number Higher or Lower II,guess-number-higher-or-lower-ii,"We are playing the Guessing Game. The game will work as follows: Given a particular n, return the minimum amount of money you need to guarantee a win regardless of what number I pick. ","Math,Dynamic Programming,Game Theory",Medium,45.3,203280,92178,1430,1768,"The best strategy to play the game is to minimize the maximum loss you could possibly face. Another strategy is to minimize the expected loss. Here, we are interested in the first scenario. Take a small example (n = 3). What do you end up paying in the worst case? Check out this article if you're still stuck. The purely recursive implementation of minimax would be worthless for even a small n. You MUST use dynamic programming. As a follow-up, how would you modify your code to solve the problem of minimizing the expected loss, instead of the worst-case loss?","294,374,464,658","Flip Game II,Guess Number Higher or Lower,Can I Win,Find K Closest Elements"
376,Wiggle Subsequence,wiggle-subsequence,"A wiggle sequence is a sequence where the differences between successive numbers strictly alternate between positive and negative. The first difference (if one exists) may be either positive or negative. A sequence with one element and a sequence with two non-equal elements are trivially wiggle sequences. A subsequence is obtained by deleting some elements (possibly zero) from the original sequence, leaving the remaining elements in their original order. Given an integer array nums, return the length of the longest wiggle subsequence of nums. ","Array,Dynamic Programming,Greedy",Medium,44.9,301689,135314,2617,93,,2271,Rearrange Array Elements by Sign
377,Combination Sum IV,combination-sum-iv,"Given an array of distinct integers nums and a target integer target, return the number of possible combinations that add up to target. The test cases are generated so that the answer can fit in a 32-bit integer. ","Array,Dynamic Programming",Medium,49.3,482241,237874,3333,383,,39,Combination Sum
378,Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,"Given an n x n matrix where each of the rows and columns is sorted in ascending order, return the kth smallest element in the matrix. Note that it is the kth smallest element in the sorted order, not the kth distinct element. You must find a solution with a memory complexity better than O(n2). ","Array,Binary Search,Sorting,Heap (Priority Queue),Matrix",Medium,59.6,632411,376832,5707,236,,"373,668,719,802","Find K Pairs with Smallest Sums,Kth Smallest Number in Multiplication Table,Find K-th Smallest Pair Distance,K-th Smallest Prime Fraction"
379,Design Phone Directory,design-phone-directory,,"Array,Hash Table,Linked List,Design,Queue",Medium,50.3,108315,54444,281,395,,1955,Seat Reservation Manager
380,Insert Delete GetRandom O(1),insert-delete-getrandom-o1,Implement the RandomizedSet class: You must implement the functions of the class such that each function works in average O(1) time complexity. ,"Array,Hash Table,Math,Design,Randomized",Medium,51.3,913746,468732,5304,284,,381,Insert Delete GetRandom O(1) - Duplicates allowed
381,Insert Delete GetRandom O(1) - Duplicates allowed,insert-delete-getrandom-o1-duplicates-allowed,"RandomizedCollection is a data structure that contains a collection of numbers, possibly duplicates (i.e., a multiset). It should support inserting and removing specific elements and also removing a random element. Implement the RandomizedCollection class: You must implement the functions of the class such that each function works on average O(1) time complexity. Note: The test cases are generated such that getRandom will only be called if there is at least one item in the RandomizedCollection. ","Array,Hash Table,Math,Design,Randomized",Hard,35.4,300917,106653,1592,114,,380,Insert Delete GetRandom O(1)
382,Linked List Random Node,linked-list-random-node,"Given a singly linked list, return a random node's value from the linked list. Each node must have the same probability of being chosen. Implement the Solution class: ","Linked List,Math,Reservoir Sampling,Randomized",Medium,58.9,255660,150600,1712,432,,398,Random Pick Index
383,Ransom Note,ransom-note,"Given two strings ransomNote and magazine, return true if ransomNote can be constructed from magazine and false otherwise. Each letter in magazine can only be used once in ransomNote. ","Hash Table,String,Counting",Easy,55.8,659531,367856,1646,297,,691,Stickers to Spell Word
384,Shuffle an Array,shuffle-an-array,"Given an integer array nums, design an algorithm to randomly shuffle the array. All permutations of the array should be equally likely as a result of the shuffling. Implement the Solution class: ","Array,Math,Randomized",Medium,57.0,452217,257703,747,642,The solution expects that we always use the original array to shuffle() else some of the test cases fail. (Credits; @snehasingh31),,
385,Mini Parser,mini-parser,"Given a string s represents the serialization of a nested list, implement a parser to deserialize it and return the deserialized NestedInteger. Each element is either an integer or a list whose elements may also be integers or other lists. ","String,Stack,Depth-First Search",Medium,35.8,133077,47667,360,1129,,"341,439,722","Flatten Nested List Iterator,Ternary Expression Parser,Remove Comments"
386,Lexicographical Numbers,lexicographical-numbers,"Given an integer n, return all the numbers in the range [1, n] sorted in lexicographical order. You must write an algorithm that runs in O(n) time and uses O(1) extra space. ","Depth-First Search,Trie",Medium,58.7,140350,82427,1197,113,,,
387,First Unique Character in a String,first-unique-character-in-a-string,"Given a string s, find the first non-repeating character in it and return its index. If it does not exist, return -1. ","Hash Table,String,Queue,Counting",Easy,57.0,1798969,1025564,4844,193,,451,Sort Characters By Frequency
388,Longest Absolute File Path,longest-absolute-file-path,"Suppose we have a file system that stores both files and directories. An example of one system is represented in the following picture:  Here, we have dir as the only directory in the root. dir contains two subdirectories, subdir1 and subdir2. subdir1 contains a file file1.ext and subdirectory subsubdir1. subdir2 contains a subdirectory subsubdir2, which contains a file file2.ext. In text form, it looks like this (with ⟶ representing the tab character): If we were to write this representation in code, it will look like this: ""dir\n\tsubdir1\n\t\tfile1.ext\n\t\tsubsubdir1\n\tsubdir2\n\t\tsubsubdir2\n\t\t\tfile2.ext"". Note that the '\n' and '\t' are the new-line and tab characters. Every file and directory has a unique absolute path in the file system, which is the order of directories that must be opened to reach the file/directory itself, all concatenated by '/'s. Using the above example, the absolute path to file2.ext is ""dir/subdir2/subsubdir2/file2.ext"". Each directory name consists of letters, digits, and/or spaces. Each file name is of the form name.extension, where name and extension consist of letters, digits, and/or spaces. Given a string input representing the file system in the explained format, return the length of the longest absolute path to a file in the abstracted file system. If there is no file in the system, return 0. ","String,Stack,Depth-First Search",Medium,45.8,278482,127581,979,2122,,,
389,Find the Difference,find-the-difference,You are given two strings s and t. String t is generated by random shuffling string s and then add one more letter at a random position. Return the letter that was added to t. ,"Hash Table,String,Bit Manipulation,Sorting",Easy,60.5,635903,384938,2700,381,,136,Single Number
390,Elimination Game,elimination-game,"You have a list arr of all integers in the range [1, n] sorted in a strictly increasing order. Apply the following algorithm on arr: Given the integer n, return the last number that remains in arr. ",Math,Medium,46.4,96444,44724,750,497,,,
391,Perfect Rectangle,perfect-rectangle,"Given an array rectangles where rectangles[i] = [xi, yi, ai, bi] represents an axis-aligned rectangle. The bottom-left point of the rectangle is (xi, yi) and the top-right point of it is (ai, bi). Return true if all the rectangles together form an exact cover of a rectangular region. ","Array,Line Sweep",Hard,32.1,106171,34050,592,97,,,
392,Is Subsequence,is-subsequence,"Given two strings s and t, return true if s is a subsequence of t, or false otherwise. A subsequence of a string is a new string that is formed from the original string by deleting some (can be none) of the characters without disturbing the relative positions of the remaining characters. (i.e., ""ace"" is a subsequence of ""abcde"" while ""aec"" is not). ","Two Pointers,String,Dynamic Programming",Easy,51.0,891195,454214,4635,285,,"808,1051","Number of Matching Subsequences,Shortest Way to Form String"
393,UTF-8 Validation,utf-8-validation,"Given an integer array data representing the data, return whether it is a valid UTF-8 encoding (i.e. it translates to a sequence of valid UTF-8 encoded characters). A character in UTF8 can be from 1 to 4 bytes long, subjected to the following rules: This is how the UTF-8 encoding would work: x denotes a bit in the binary form of a byte that may be either 0 or 1. Note: The input is an array of integers. Only the least significant 8 bits of each integer is used to store the data. This means each integer represents only 1 byte of data. ","Array,Bit Manipulation",Medium,39.2,171170,67031,365,1508,"All you have to do is follow the rules. For a given integer, obtain its binary representation in the string form and work with the rules given in the problem. An integer can either represent the start of a UTF-8 character, or a part of an existing UTF-8 character. There are two separate rules for these two scenarios in the problem. If an integer is a part of an existing UTF-8 character, simply check the 2 most significant bits of in the binary representation string. They should be 10. If the integer represents the start of a UTF-8 character, then the first few bits would be 1 followed by a 0. The number of initial bits (most significant) bits determines the length of the UTF-8 character. 


Note: The array can contain multiple valid UTF-8 characters. String manipulation will work fine here. But, it is too slow. Can we instead use bit manipulation to do the validations instead of string manipulations? We can use bit masking to check how many initial bits are set for a given number. We only need to work with the 8 least significant bits as mentioned in the problem.

mask = 1 << 7
while mask & num:
    n_bytes += 1
    mask = mask >> 1


Can you use bit-masking to perform the second validation as well i.e. checking if the most significant bit is 1 and the second most significant bit a 0? To check if the most significant bit is a 1 and the second most significant bit is a 0, we can make use of the following two masks.


mask1 = 1 << 7
mask2 = 1 << 6

if not (num & mask1 and not (num & mask2)):
    return False",,
394,Decode String,decode-string,"Given an encoded string, return its decoded string. The encoding rule is: k[encoded_string], where the encoded_string inside the square brackets is being repeated exactly k times. Note that k is guaranteed to be a positive integer. You may assume that the input string is always valid; there are no extra white spaces, square brackets are well-formed, etc. Furthermore, you may assume that the original data does not contain any digits and that digits are only for those repeat numbers, k. For example, there will not be input like 3a or 2[4]. ","String,Stack,Recursion",Medium,56.2,852371,479436,7950,340,,"471,726,1076","Encode String with Shortest Length,Number of Atoms,Brace Expansion"
395,Longest Substring with At Least K Repeating Characters,longest-substring-with-at-least-k-repeating-characters,"Given a string s and an integer k, return the length of the longest substring of s such that the frequency of each character in this substring is greater than or equal to k. ","Hash Table,String,Divide and Conquer,Sliding Window",Medium,44.5,345377,153849,3853,321,,"2140,2209","Longest Subsequence Repeated k Times,Number of Equal Count Substrings"
396,Rotate Function,rotate-function,"You are given an integer array nums of length n. Assume arrk to be an array obtained by rotating nums by k positions clock-wise. We define the rotation function F on nums as follow: Return the maximum value of F(0), F(1), ..., F(n-1). The test cases are generated so that the answer fits in a 32-bit integer. ","Array,Math,Dynamic Programming",Medium,39.2,154081,60330,817,208,,,
397,Integer Replacement,integer-replacement,"Given a positive integer n, you can apply one of the following operations: Return the minimum number of operations needed for n to become 1. ","Dynamic Programming,Greedy,Bit Manipulation,Memoization",Medium,34.7,232928,80756,811,421,,,
398,Random Pick Index,random-pick-index,"Given an integer array nums with possible duplicates, randomly output the index of a given target number. You can assume that the given target number must exist in the array. Implement the Solution class: ","Hash Table,Math,Reservoir Sampling,Randomized",Medium,63.6,262892,167330,955,1028,,"382,894,912","Linked List Random Node,Random Pick with Blacklist,Random Pick with Weight"
399,Evaluate Division,evaluate-division,"You are given an array of variable pairs equations and an array of real numbers values, where equations[i] = [Ai, Bi] and values[i] represent the equation Ai / Bi = values[i]. Each Ai or Bi is a string that represents a single variable. You are also given some queries, where queries[j] = [Cj, Dj] represents the jth query where you must find the answer for Cj / Dj = ?. Return the answers to all queries. If a single answer cannot be determined, return -1.0. Note: The input is always valid. You may assume that evaluating the queries will not result in division by zero and that there is no contradiction. ","Array,Depth-First Search,Breadth-First Search,Union Find,Graph,Shortest Path",Medium,57.1,432353,246732,4916,419,Do you recognize this as a graph problem?,,
400,Nth Digit,nth-digit,"Given an integer n, return the nth digit of the infinite integer sequence [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ...]. ","Math,Binary Search",Medium,33.5,223742,74920,656,1499,,,
401,Binary Watch,binary-watch,"A binary watch has 4 LEDs on the top which represent the hours (0-11), and the 6 LEDs on the bottom represent the minutes (0-59). Each LED represents a zero or one, with the least significant bit on the right.  Given an integer turnedOn which represents the number of LEDs that are currently on, return all possible times the watch could represent. You may return the answer in any order. The hour must not contain a leading zero. The minute must be consist of two digits and may contain a leading zero. ","Backtracking,Bit Manipulation",Easy,50.4,215786,108789,935,1753,Simplify by seeking for solutions that involve comparing bit counts. Consider calculating all possible times for comparison purposes.,"17,191","Letter Combinations of a Phone Number,Number of 1 Bits"
402,Remove K Digits,remove-k-digits,"Given string num representing a non-negative integer num, and an integer k, return the smallest possible integer after removing k digits from num. ","String,Stack,Greedy,Monotonic Stack",Medium,30.5,849382,258935,5963,249,,"321,738,1792,2305","Create Maximum Number,Monotone Increasing Digits,Find the Most Competitive Subsequence,Append K Integers With Minimal Sum"
403,Frog Jump,frog-jump,"A frog is crossing a river. The river is divided into some number of units, and at each unit, there may or may not exist a stone. The frog can jump on a stone, but it must not jump into the water. Given a list of stones' positions (in units) in sorted ascending order, determine if the frog can cross the river by landing on the last stone. Initially, the frog is on the first stone and assumes the first jump must be 1 unit. If the frog's last jump was k units, its next jump must be either k - 1, k, or k + 1 units. The frog can only jump in the forward direction. ","Array,Dynamic Programming",Hard,42.9,353218,151515,2448,160,,"1952,2262","Minimum Sideway Jumps,Solving Questions With Brainpower"
404,Sum of Left Leaves,sum-of-left-leaves,"Given the root of a binary tree, return the sum of all left leaves. A leaf is a node with no children. A left leaf is a leaf that is the left child of another node. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,55.0,621755,341893,3236,244,,,
405,Convert a Number to Hexadecimal,convert-a-number-to-hexadecimal,"Given an integer num, return a string representing its hexadecimal representation. For negative integers, two’s complement method is used. All the letters in the answer string should be lowercase characters, and there should not be any leading zeros in the answer except for the zero itself. Note: You are not allowed to use any built-in library method to directly solve this problem. ","Math,Bit Manipulation",Easy,45.7,212775,97344,862,169,,,
406,Queue Reconstruction by Height,queue-reconstruction-by-height,"You are given an array of people, people, which are the attributes of some people in a queue (not necessarily in order). Each people[i] = [hi, ki] represents the ith person of height hi with exactly ki other people in front who have a height greater than or equal to hi. Reconstruct and return the queue that is represented by the input array people. The returned queue should be formatted as an array queue, where queue[j] = [hj, kj] is the attributes of the jth person in the queue (queue[0] is the person at the front of the queue). ","Array,Greedy,Binary Indexed Tree,Segment Tree,Sorting",Medium,70.1,314990,220723,4787,511,"What can you say about the position of the shortest person? 
If the position of the shortest person is i, how many people would be in front of the shortest person? Once you fix the position of the shortest person, what can you say about the position of the second shortest person?",315,Count of Smaller Numbers After Self
407,Trapping Rain Water II,trapping-rain-water-ii,"Given an m x n integer matrix heightMap representing the height of each unit cell in a 2D elevation map, return the volume of water it can trap after raining. ","Array,Breadth-First Search,Heap (Priority Queue),Matrix",Hard,46.9,145379,68250,2670,60,,42,Trapping Rain Water
408,Valid Word Abbreviation,valid-word-abbreviation,,"Two Pointers,String",Easy,34.7,267371,92659,434,1591,,"411,527,2184","Minimum Unique Word Abbreviation,Word Abbreviation,Check if an Original String Exists Given Two Encoded Strings"
409,Longest Palindrome,longest-palindrome,"Given a string s which consists of lowercase or uppercase letters, return the length of the longest palindrome that can be built with those letters. Letters are case sensitive, for example, ""Aa"" is not considered a palindrome here. ","Hash Table,String,Greedy",Easy,53.5,496778,265829,2591,153,,"266,2237","Palindrome Permutation,Longest Palindrome by Concatenating Two Letter Words"
410,Split Array Largest Sum,split-array-largest-sum,"Given an array nums which consists of non-negative integers and an integer m, you can split the array into m non-empty continuous subarrays. Write an algorithm to minimize the largest sum among these m subarrays. ","Array,Binary Search,Dynamic Programming,Greedy",Hard,52.0,393533,204494,5728,149,,"1056,1192,2242,2330","Capacity To Ship Packages Within D Days,Divide Chocolate,Subsequence of Size K With the Largest Even Sum,Maximum Total Beauty of the Gardens"
411,Minimum Unique Word Abbreviation,minimum-unique-word-abbreviation,,"String,Backtracking,Bit Manipulation",Hard,38.4,34544,13260,164,137,,"320,408,527","Generalized Abbreviation,Valid Word Abbreviation,Word Abbreviation"
412,Fizz Buzz,fizz-buzz,"Given an integer n, return a string array answer (1-indexed) where: ","Math,String,Simulation",Easy,66.5,913322,607795,329,58,,1316,Fizz Buzz Multithreaded
413,Arithmetic Slices,arithmetic-slices,"An integer array is called arithmetic if it consists of at least three elements and if the difference between any two consecutive elements is the same. Given an integer array nums, return the number of arithmetic subarrays of nums. A subarray is a contiguous subsequence of the array. ","Array,Dynamic Programming",Medium,64.4,350296,225542,3847,249,,"446,1752","Arithmetic Slices II - Subsequence,Arithmetic Subarrays"
414,Third Maximum Number,third-maximum-number,"Given an integer array nums, return the third distinct maximum number in this array. If the third maximum does not exist, return the maximum number. ","Array,Sorting",Easy,31.8,1005897,319648,1629,2274,,215,Kth Largest Element in an Array
415,Add Strings,add-strings,"Given two non-negative integers, num1 and num2 represented as string, return the sum of num1 and num2 as a string. You must solve the problem without using any built-in library for handling large integers (such as BigInteger). You must also not convert the inputs to integers directly. ","Math,String,Simulation",Easy,52.1,888575,462692,3167,538,,"2,43,1031","Add Two Numbers,Multiply Strings,Add to Array-Form of Integer"
